C_a,policy,n_seeds,TP_mean,TP_std,TN_mean,TN_std,FP_mean,FP_std,FN_mean,FN_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auprc_mean,auprc_std,cumulative_reward_mean,cumulative_reward_std,cumulative_regret_mean,cumulative_regret_std
5.0,LM_LinTS,5,70.8,12.173742234826559,85324.0,4.123105625616006,11.0,4.123105625617661,37.2,12.17374223482656,0.8682345991478485,0.027913767682644034,0.6555555555555556,0.11271983550765334,0.7416229713147303,0.07079917975857479,0.7414195724804428,0.045462259635314965,-6161.552000000001,3324.0753451554015,5826.722000000001,3324.0753451554015
5.0,LM_BootstrappedUCB,5,72.6,2.3021728866442683,85330.0,2.1213203435596424,5.0,2.1213203435596424,35.4,2.3021728866442674,0.9361539450441889,0.02517861320175927,0.6722222222222223,0.02131641561707658,0.7822508106233989,0.016496928339208617,0.6642437393744217,0.01895990594256317,-5772.688,859.9710997295194,5437.858,859.9710997295194
5.0,LM_BootstrappedTS,5,72.4,3.209361307176243,85328.8,1.3038404810415063,6.2,1.3038404810405297,35.6,3.209361307176242,0.9208568261007285,0.018029427221245516,0.6703703703703703,0.029716308399779994,0.7757682878847493,0.02548140008355595,0.6490248943258023,0.02190995790950079,-5541.3,1530.770813952892,5206.469999999999,1530.770813952892
5.0,LogisticRegression,1,53.0,,65109.0,,20226.0,,55.0,,0.0026135411016322305,,0.49074074074074076,,0.005199391769264728,,0.7470716926962336,,-101479.78,,101144.95,
5.0,RandomForest,5,42.6,0.5477225575051652,84463.8,12.397580409096651,871.2,12.397580409095951,65.4,0.5477225575051684,0.04662522522498401,0.0008642648264892706,0.3944444444444445,0.005071505162084856,0.08339184851577615,0.0014622166245538061,0.8222525861489837,0.0030049525142272376,-5514.836,602.6716627069839,5180.006,602.6716627069839
5.0,XGBoost,1,41.0,,85221.0,,114.0,,67.0,,0.2645161290322581,,0.37962962962962965,,0.311787072243346,,0.7990362537074601,,-2964.9500000000007,,2630.120000000001,
10.0,CS_EpsilonGreedy,5,80.0,2.5495097567963922,81041.6,63.76362599476302,4293.4,63.76362599476288,28.0,2.5495097567963922,0.018293400512344765,0.0005535438983444602,0.7407407407407407,0.023606571822188824,0.03570487806041651,0.0010786620490538788,0.7555716835619685,0.003999216148163362,-46867.229999999996,980.7819686607207,46276.52,980.7819686607207
10.0,CS_LinUCB,5,83.0,0.0,85321.0,0.0,14.0,0.0,25.0,0.0,0.8556701030927835,0.0,0.7685185185185185,0.0,0.8097560975609757,0.0,0.7529036297377105,4.3219977156923655e-05,-3509.7,0.0,2918.9900000000002,0.0
10.0,CS_LinTS,5,83.0,0.0,85322.8,1.3038404810394137,12.2,1.30384048104053,25.0,0.0,0.8719790187521888,0.011890874407000152,0.7685185185185185,0.0,0.8169559868680961,0.00523125342949094,0.7592130861817207,0.000670348036913919,-3491.7,13.038404810405341,2900.9900000000002,13.038404810405341
10.0,CS_BootstrappedUCB,5,82.8,0.44721359549995915,85325.4,0.8944271909984923,9.6,0.8944271909999161,25.2,0.44721359549995815,0.8962007168458781,0.008335163787095987,0.7666666666666666,0.0041408666249995625,0.826353083069501,0.0010787603690636108,0.7546659798713126,0.0017267035625296429,-3528.618,131.74465309833246,2937.9080000000004,131.74465309833246
10.0,CS_BootstrappedTS,5,81.4,1.5165750888103104,85317.8,11.584472366059343,17.2,11.584472366059664,26.6,1.51657508881031,0.8340041129223048,0.09181945620014044,0.7537037037037037,0.014042361933428784,0.7898849859763691,0.044819819823103284,0.7527866749040808,0.009099922876375302,-3929.8779999999997,491.6687988066763,3339.168,491.6687988066762
10.0,LM_EpsilonGreedy,5,69.6,7.368853370776215,81064.4,90.33437883773867,4270.6,90.33437883773821,38.4,7.3688533707762165,0.01603838261815583,0.0017136438038322316,0.6444444444444445,0.06823012380348349,0.03129758025453838,0.0033414934013099307,0.533356393574278,0.02697207319565077,-49476.964,1862.9593553886255,48886.254,1862.9593553886284
10.0,LM_LinUCB,5,79.2,3.033150177620621,85316.0,1.581138830082464,19.0,1.5811388300841893,28.8,3.03315017762062,0.8067043517011548,0.009896046006418503,0.7333333333333333,0.02808472386685761,0.7679783217634879,0.014903770870154221,0.7649265616439244,0.015186480234983719,-3940.2339999999995,374.1761673062568,3349.524,374.1761673062568
10.0,LM_LinTS,5,70.8,12.173742234826559,85324.0,4.123105625616006,11.0,4.123105625617661,37.2,12.17374223482656,0.8682345991478485,0.027913767682644034,0.6555555555555556,0.11271983550765334,0.7416229713147303,0.07079917975857479,0.7414195724804428,0.045462259635314965,-6570.552000000001,3248.1961386698927,5979.842000000001,3248.196138669893
10.0,LM_BootstrappedUCB,5,72.6,2.3021728866442683,85330.0,2.1213203435596424,5.0,2.1213203435596424,35.4,2.3021728866442674,0.9361539450441889,0.02517861320175927,0.6722222222222223,0.02131641561707658,0.7822508106233989,0.016496928339208617,0.6642437393744217,0.01895990594256317,-6160.688,845.6140416111831,5569.978,845.6140416111831
10.0,LM_BootstrappedTS,5,72.4,3.209361307176243,85328.8,1.3038404810415063,6.2,1.3038404810405297,35.6,3.209361307176242,0.9208568261007285,0.018029427221245516,0.6703703703703703,0.029716308399779994,0.7757682878847493,0.02548140008355595,0.6490248943258023,0.02190995790950079,-5934.3,1525.6434084837783,5343.589999999999,1525.6434084837776
10.0,LogisticRegression,1,44.0,,71801.0,,13534.0,,64.0,,0.00324053616143762,,0.4074074074074074,,0.006429928393979249,,0.7470716926962336,,-136071.69999999998,,135480.99,
10.0,RandomForest,5,39.2,0.8366600265340751,84894.0,16.673332000533257,441.0,16.673332000533065,68.8,0.8366600265340751,0.081706034217622,0.0031676241433586647,0.362962962962963,0.007746852097537728,0.1333662395214645,0.004470186327564921,0.8222525861489837,0.0030049525142272376,-5993.314,591.4475924627643,5402.604000000001,591.4475924627643
10.0,XGBoost,1,37.0,,85263.0,,72.0,,71.0,,0.3394495412844037,,0.3425925925925926,,0.34101382488479265,,0.7990362537074601,,-3313.1800000000003,,2722.4700000000003,
20.0,CS_EpsilonGreedy,5,77.6,2.966479394838266,81048.8,62.62347802541665,4286.2,62.62347802541783,30.4,2.966479394838265,0.017789197730382324,0.0008335343936250123,0.7185185185185186,0.027467401804058,0.034718690910943574,0.001618394999386113,0.7562488618519058,0.0032355225515273904,-90616.722,1593.3191208982591,89575.662,1593.3191208982591
20.0,CS_LinUCB,5,83.0,0.0,85323.0,0.0,12.0,0.0,25.0,0.0,0.8736842105263157,0.0,0.7685185185185185,0.0,0.8177339901477831,0.0,0.7518340691237044,1.0665561743887848e-05,-4439.7,0.0,3398.6400000000003,0.0
20.0,CS_LinTS,5,83.0,0.0,85322.8,0.8366600265355975,12.2,0.8366600265340753,25.0,0.0,0.8719027622247107,0.0076839461012103046,0.7685185185185185,0.0,0.816940227781109,0.0033679992912074336,0.7575501351317524,0.0014689441407700276,-4443.7,16.73320053068141,3402.6400000000003,16.73320053068156
20.0,CS_BootstrappedUCB,5,73.4,13.612494260788507,85328.6,3.5071355833496733,6.4,3.5071355833500366,34.6,13.612494260788505,0.9233420385610757,0.030737104729644627,0.6796296296296296,0.12604161352581947,0.7758621837715849,0.087272273167937,0.7522350001692937,0.0013105740669339526,-5713.1759999999995,1954.9292778844965,4672.116,1954.9292778844967
20.0,CS_BootstrappedTS,5,79.8,3.7682887362833544,85325.6,0.8944271910010344,9.4,0.8944271909999157,28.2,3.768288736283354,0.8944785364614158,0.010931545008038276,0.7388888888888889,0.034891562372993984,0.8089973616764661,0.024057953978541942,0.7536107648903974,0.003071456760886384,-4845.28,769.8913706166608,3804.22,769.8913706166605
20.0,LM_EpsilonGreedy,5,69.6,7.368853370776215,81064.4,90.33437883773867,4270.6,90.33437883773821,38.4,7.3688533707762165,0.01603838261815583,0.0017136438038322316,0.6444444444444445,0.06823012380348349,0.03129758025453838,0.0033414934013099307,0.533356393574278,0.02697207319565077,-92878.964,2433.4808895551128,91837.90400000001,2433.4808895551128
