C_a,policy,seed,TP,TN,FP,FN,precision,recall,f1,auprc,cumulative_reward,cumulative_regret
5.0,LM_BootstrappedTS,43,74,85329,6,34,0.925,0.6851851851851852,0.7872340425531915,0.6632043399764364,-4953.37,4618.54
5.0,LM_BootstrappedTS,44,77,85330,5,31,0.9390243902439024,0.7129629629629629,0.8105263157894737,0.6776120783522122,-4629.74,4294.91
5.0,LM_BootstrappedTS,45,69,85327,8,39,0.8961038961038961,0.6388888888888888,0.7459459459459459,0.6356066265862629,-7383.54,7048.71
5.0,LM_BootstrappedTS,46,70,85328,7,38,0.9090909090909091,0.6481481481481481,0.7567567567567568,0.6222844759665473,-6910.03,6575.2
5.0,LogisticRegression,,53,65109,20226,55,0.0026135411016322305,0.49074074074074076,0.005199391769264728,0.7470716926962336,-101479.78,101144.95
5.0,RandomForest,42,43,84476,859,65,0.04767184035476718,0.39814814814814814,0.08514851485148514,0.8265550880002713,-5017.04,4682.21
5.0,RandomForest,43,43,84471,864,65,0.047409040793825796,0.39814814814814814,0.08472906403940886,0.8212756300304096,-5042.04,4707.21
5.0,RandomForest,44,42,84469,866,66,0.046255506607929514,0.3888888888888889,0.08267716535433071,0.8224522167317802,-6144.030000000001,5809.200000000001
5.0,RandomForest,45,42,84458,877,66,0.04570184983677911,0.3888888888888889,0.08179162609542356,0.8227703166768275,-6199.030000000001,5864.200000000001
5.0,RandomForest,46,43,84445,890,65,0.04608788853161844,0.39814814814814814,0.08261287223823247,0.8182096793056296,-5172.04,4837.21
5.0,XGBoost,,41,85221,114,67,0.2645161290322581,0.37962962962962965,0.311787072243346,0.7990362537074601,-2964.9500000000007,2630.120000000001
10.0,CS_EpsilonGreedy,42,78,81029,4306,30,0.017791970802919707,0.7222222222222222,0.034728406055209264,0.758869450281395,-46906.369999999995,46315.659999999996
10.0,CS_EpsilonGreedy,43,84,80973,4362,24,0.018893387314439947,0.7777777777777778,0.03689064558629777,0.7601233404141353,-46997.509999999995,46406.799999999996
10.0,CS_EpsilonGreedy,44,78,80993,4342,30,0.01764705882352941,0.7222222222222222,0.03445229681978798,0.7523440072458265,-48399.659999999996,47808.95
10.0,CS_EpsilonGreedy,45,79,81124,4211,29,0.018414918414918414,0.7314814814814815,0.035925420645748066,0.7556360894456762,-46144.24999999999,45553.53999999999
10.0,CS_EpsilonGreedy,46,81,81089,4246,27,0.01871966720591634,0.75,0.03652762119503946,0.7508855304228096,-45888.36,45297.65
10.0,CS_LinUCB,42,83,85321,14,25,0.8556701030927835,0.7685185185185185,0.8097560975609756,0.7528263154921834,-3509.7000000000003,2918.9900000000002
10.0,CS_LinUCB,43,83,85321,14,25,0.8556701030927835,0.7685185185185185,0.8097560975609756,0.7529229582990923,-3509.7000000000003,2918.9900000000002
10.0,CS_LinUCB,44,83,85321,14,25,0.8556701030927835,0.7685185185185185,0.8097560975609756,0.7529229582990923,-3509.7000000000003,2918.9900000000002
10.0,CS_LinUCB,45,83,85321,14,25,0.8556701030927835,0.7685185185185185,0.8097560975609756,0.7529229582990923,-3509.7000000000003,2918.9900000000002
10.0,CS_LinUCB,46,83,85321,14,25,0.8556701030927835,0.7685185185185185,0.8097560975609756,0.7529229582990923,-3509.7000000000003,2918.9900000000002
10.0,CS_LinTS,42,83,85323,12,25,0.8736842105263158,0.7685185185185185,0.8177339901477831,0.75987963919568,-3489.7000000000003,2898.9900000000002
10.0,CS_LinTS,43,83,85321,14,25,0.8556701030927835,0.7685185185185185,0.8097560975609756,0.7584378181938951,-3509.7000000000003,2918.9900000000002
10.0,CS_LinTS,44,83,85324,11,25,0.8829787234042553,0.7685185185185185,0.8217821782178217,0.7595360477120059,-3479.7000000000003,2888.9900000000002
10.0,CS_LinTS,45,83,85324,11,25,0.8829787234042553,0.7685185185185185,0.8217821782178217,0.7596649251766117,-3479.7000000000003,2888.9900000000002
10.0,CS_LinTS,46,83,85322,13,25,0.8645833333333334,0.7685185185185185,0.8137254901960784,0.7585470006304109,-3499.7000000000003,2908.9900000000002
10.0,CS_BootstrappedUCB,42,83,85325,10,25,0.8924731182795699,0.7685185185185185,0.8258706467661692,0.7540176662266206,-3469.7000000000003,2878.9900000000002
10.0,CS_BootstrappedUCB,43,83,85325,10,25,0.8924731182795699,0.7685185185185185,0.8258706467661692,0.755138411150066,-3469.7000000000003,2878.9900000000002
10.0,CS_BootstrappedUCB,44,82,85327,8,26,0.9111111111111111,0.7592592592592593,0.8282828282828282,0.7522977317859112,-3764.29,3173.58
10.0,CS_BootstrappedUCB,45,83,85325,10,25,0.8924731182795699,0.7685185185185185,0.8258706467661692,0.7548340478130987,-3469.7000000000003,2878.9900000000002
10.0,CS_BootstrappedUCB,46,83,85325,10,25,0.8924731182795699,0.7685185185185185,0.8258706467661692,0.7570420423808666,-3469.7000000000003,2878.9900000000002
10.0,CS_BootstrappedTS,42,80,85300,35,28,0.6956521739130435,0.7407407407407407,0.7174887892376681,0.7368520026613431,-4692.94,4102.23
